ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,OccupancyRatio,TrafficWeight,VehicleWeight,DemandRaw,NormalizedDemand,DemandPrice,CompetitivePrice,RerouteFlag
33,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,05-10-2016,15:30:00,2016-10-05 15:30:00,0.22357019064124783,1,3,5.117850953206239,0.20383973408213107,11.630717872657048,13.130717872657048,
34,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,low,2,0,05-10-2016,16:04:00,2016-10-05 16:04:00,0.2097053726169844,1,3,5.048526863084922,0.20182001910484962,11.614560152838799,13.114560152838799,
35,BHMBCCMKT01,577,26.14453614,91.73617216,114,bike,low,1,0,05-10-2016,16:30:00,2016-10-05 16:30:00,0.1975736568457539,1,2,1.9878682842287696,0.11264960285787329,10.901196822862985,12.401196822862985,
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,06-10-2016,07:57:00,2016-10-06 07:57:00,0.10051993067590988,1,3,2.5025996533795496,0.1276459865641881,11.021167892513507,12.521167892513507,
37,BHMBCCMKT01,577,26.14453614,91.73617216,63,car,low,1,0,06-10-2016,08:30:00,2016-10-06 08:30:00,0.10918544194107452,1,3,2.5459272097053725,0.12890830842498902,11.031266467399911,12.531266467399911,
38,BHMBCCMKT01,577,26.14453614,91.73617216,70,car,low,1,0,06-10-2016,08:57:00,2016-10-06 08:57:00,0.12131715771230503,1,3,2.6065857885615253,0.1306755590301103,11.045404472240882,12.545404472240882,
39,BHMBCCMKT01,577,26.14453614,91.73617216,95,car,low,2,0,06-10-2016,09:30:00,2016-10-06 09:30:00,0.16464471403812825,1,3,4.823223570190641,0.19525594542868488,11.562047563429479,13.062047563429479,
40,BHMBCCMKT01,577,26.14453614,91.73617216,135,car,low,3,0,06-10-2016,10:03:00,2016-10-06 10:03:00,0.2339688041594454,1,3,7.1698440207972265,0.26362329740966217,12.108986379277297,13.608986379277297,
41,BHMBCCMKT01,577,26.14453614,91.73617216,160,car,average,3,0,06-10-2016,10:30:00,2016-10-06 10:30:00,0.2772963604852686,2,3,4.386481802426343,0.1825317410718117,11.460253928574494,12.960253928574494,
42,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,average,3,0,06-10-2016,10:57:00,2016-10-06 10:57:00,0.30675909878682844,2,3,4.533795493934142,0.1868236353985348,11.494589083188277,12.994589083188277,
43,BHMBCCMKT01,577,26.14453614,91.73617216,191,cycle,average,4,0,06-10-2016,11:30:00,2016-10-06 11:30:00,0.3310225303292894,2,1,4.655112651646448,0.19035813660877737,11.52286509287022,13.02286509287022,
44,BHMBCCMKT01,577,26.14453614,91.73617216,199,car,high,7,0,06-10-2016,12:04:00,2016-10-06 12:04:00,0.34488734835355284,3,3,9.724436741767764,0.3380497943224839,12.70439835457987,14.20439835457987,
45,BHMBCCMKT01,577,26.14453614,91.73617216,206,car,high,7,0,06-10-2016,12:30:00,2016-10-06 12:30:00,0.35701906412478335,3,3,9.785095320623917,0.33981704492760517,12.718536359420842,14.218536359420842,
46,BHMBCCMKT01,577,26.14453614,91.73617216,198,car,average,5,0,06-10-2016,12:57:00,2016-10-06 12:57:00,0.3431542461005199,2,3,8.7157712305026,0.30866294140303874,12.469303531224309,13.969303531224309,
47,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,high,7,0,06-10-2016,13:30:00,2016-10-06 13:30:00,0.36048526863084923,3,2,8.802426343154247,0.31118758512464056,12.489500680997125,13.989500680997125,
48,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,average,5,0,06-10-2016,13:57:00,2016-10-06 13:57:00,0.3466204506065858,2,3,8.733102253032929,0.3091678701473591,12.473342961178872,13.973342961178872,
49,BHMBCCMKT01,577,26.14453614,91.73617216,175,cycle,average,3,0,06-10-2016,14:30:00,2016-10-06 14:30:00,0.30329289428076256,2,1,2.516464471403813,0.1280499295596444,11.024399436477154,12.524399436477154,
50,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,2,0,06-10-2016,15:04:00,2016-10-06 15:04:00,0.2738301559792028,1,3,5.369150779896014,0.21116120087477636,11.689289606998212,13.189289606998212,
51,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,low,2,0,06-10-2016,15:31:00,2016-10-06 15:31:00,0.2651646447140381,1,2,4.325823223570191,0.18076449046669044,11.446115923733524,12.946115923733524,
52,BHMBCCMKT01,577,26.14453614,91.73617216,135,bike,low,1,0,06-10-2016,16:04:00,2016-10-06 16:04:00,0.2339688041594454,1,2,2.169844020797227,0.11795135467323711,10.943610837385897,12.443610837385897,
53,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,06-10-2016,16:30:00,2016-10-06 16:30:00,0.22357019064124783,1,3,5.117850953206239,0.20383973408213107,11.630717872657048,13.130717872657048,
54,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,2,0,07-10-2016,08:03:00,2016-10-07 08:03:00,0.10051993067590988,1,3,4.50259965337955,0.18591476365875814,11.487318109270067,12.987318109270067,
55,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,07-10-2016,08:30:00,2016-10-07 08:30:00,0.10571923743500866,2,3,1.5285961871750438,0.09926899113338364,10.794151929067068,12.294151929067068,
56,BHMBCCMKT01,577,26.14453614,91.73617216,75,car,low,1,0,07-10-2016,09:04:00,2016-10-07 09:04:00,0.12998266897746968,1,3,2.6499133448873486,0.1319378808909112,11.055503047127289,12.555503047127289,
57,BHMBCCMKT01,577,26.14453614,91.73617216,103,car,low,2,0,07-10-2016,09:30:00,2016-10-07 09:30:00,0.17850953206239167,1,3,4.892547660311958,0.19727566040596634,11.578205283247732,13.078205283247732,
58,BHMBCCMKT01,577,26.14453614,91.73617216,128,bike,low,2,0,07-10-2016,09:57:00,2016-10-07 09:57:00,0.2218370883882149,1,2,4.109185441941074,0.17445288116268584,11.395623049301486,12.895623049301486,
59,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,high,5,0,07-10-2016,10:30:00,2016-10-07 10:30:00,0.29809358752166376,3,4,6.490467937608319,0.24383009063230393,11.950640725058433,13.450640725058433,
60,BHMBCCMKT01,577,26.14453614,91.73617216,188,car,average,3,0,07-10-2016,10:57:00,2016-10-07 10:57:00,0.32582322357019067,2,3,4.629116117850954,0.18960074349229683,11.516805947938376,13.016805947938376,
61,BHMBCCMKT01,577,26.14453614,91.73617216,199,bike,average,4,0,07-10-2016,11:30:00,2016-10-07 11:30:00,0.34488734835355284,2,2,5.724436741767764,0.22151224013334384,11.77209792106675,13.27209792106675,
62,BHMBCCMKT01,577,26.14453614,91.73617216,210,car,high,7,0,07-10-2016,12:03:00,2016-10-07 12:03:00,0.36395147313691506,3,3,9.819757365684575,0.3408269024162459,12.726615219329966,14.226615219329966,
63,BHMBCCMKT01,577,26.14453614,91.73617216,206,bike,high,7,0,07-10-2016,12:30:00,2016-10-07 12:30:00,0.35701906412478335,3,2,8.785095320623917,0.31068265638032017,12.485461251042562,13.985461251042562,
64,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,high,7,0,07-10-2016,13:04:00,2016-10-07 13:04:00,0.3466204506065858,3,3,9.733102253032929,0.3383022586946441,12.706418069557152,14.206418069557152,
65,BHMBCCMKT01,577,26.14453614,91.73617216,201,car,high,7,0,07-10-2016,13:30:00,2016-10-07 13:30:00,0.3483535528596187,3,3,9.741767764298093,0.33855472306680423,12.708437784534434,14.208437784534434,
66,BHMBCCMKT01,577,26.14453614,91.73617216,193,bike,average,3,0,07-10-2016,14:03:00,2016-10-07 14:03:00,0.3344887348353553,2,2,3.672443674176776,0.16172867680581268,11.2938294144465,12.7938294144465,
67,BHMBCCMKT01,577,26.14453614,91.73617216,181,car,average,4,0,07-10-2016,14:30:00,2016-10-07 14:30:00,0.31369150779896016,2,3,6.568457538994801,0.24610226998174559,11.968818159853964,13.468818159853964,
68,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,low,2,0,07-10-2016,15:04:00,2016-10-07 15:04:00,0.29809358752166376,1,4,6.490467937608319,0.24383009063230393,11.950640725058433,13.450640725058433,
69,BHMBCCMKT01,577,26.14453614,91.73617216,159,cycle,low,2,0,07-10-2016,15:30:00,2016-10-07 15:30:00,0.2755632582322357,1,1,3.377816291161178,0.1531448881523665,11.225159105218932,12.725159105218932,
70,BHMBCCMKT01,577,26.14453614,91.73617216,158,cycle,low,2,0,07-10-2016,15:57:00,2016-10-07 15:57:00,0.2738301559792028,1,1,3.369150779896014,0.15289242378020632,11.22313939024165,12.72313939024165,
71,BHMBCCMKT01,577,26.14453614,91.73617216,132,car,low,2,0,07-10-2016,16:30:00,2016-10-07 16:30:00,0.22876949740034663,1,3,5.143847487001733,0.20459712719861162,11.636777017588892,13.136777017588892,
72,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,08-10-2016,07:57:00,2016-10-08 07:57:00,0.10051993067590988,1,3,2.5025996533795496,0.1276459865641881,11.021167892513507,12.521167892513507,
73,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,08-10-2016,08:30:00,2016-10-08 08:30:00,0.10571923743500866,2,3,1.5285961871750438,0.09926899113338364,10.794151929067068,12.294151929067068,
74,BHMBCCMKT01,577,26.14453614,91.73617216,75,truck,low,1,0,08-10-2016,08:57:00,2016-10-08 08:57:00,0.12998266897746968,1,4,3.6499133448873486,0.16107226943819622,11.288578155505569,12.788578155505569,
75,BHMBCCMKT01,577,26.14453614,91.73617216,104,car,low,2,0,08-10-2016,09:30:00,2016-10-08 09:30:00,0.18024263431542462,1,3,4.901213171577123,0.19752812477812653,11.580224998225013,13.080224998225013,
76,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,3,0,08-10-2016,10:04:00,2016-10-08 10:04:00,0.2738301559792028,1,3,7.369150779896014,0.26942997796934637,12.155439823754772,12.155439823754772,
77,BHMBCCMKT01,577,26.14453614,91.73617216,191,truck,average,3,0,08-10-2016,10:30:00,2016-10-08 10:30:00,0.3310225303292894,2,4,5.655112651646447,0.21949252515606235,11.755940201248498,13.255940201248498,
78,BHMBCCMKT01,577,26.14453614,91.73617216,223,truck,average,4,0,08-10-2016,10:57:00,2016-10-08 10:57:00,0.38648180242634317,2,4,7.932409012131716,0.2858401621597582,12.286721297278067,12.286721297278067,
79,BHMBCCMKT01,577,26.14453614,91.73617216,254,car,average,4,0,08-10-2016,11:30:00,2016-10-08 11:30:00,0.44020797227036396,2,3,7.20103986135182,0.26453216914943883,12.116257353195511,13.616257353195511,
80,BHMBCCMKT01,577,26.14453614,91.73617216,306,car,high,7,0,08-10-2016,12:04:00,2016-10-08 12:04:00,0.5303292894280762,3,3,10.65164644714038,0.36506348214362333,12.920507857148987,14.420507857148987,
81,BHMBCCMKT01,577,26.14453614,91.73617216,320,car,high,8,0,08-10-2016,12:30:00,2016-10-08 12:30:00,0.5545927209705372,3,3,12.772963604852684,0.4268667604484359,13.41493408358749,13.41493408358749,
82,BHMBCCMKT01,577,26.14453614,91.73617216,348,car,high,7,0,08-10-2016,13:04:00,2016-10-08 13:04:00,0.6031195840554593,3,3,11.015597920277298,0.3756669857743511,13.005335886194809,13.005335886194809,
83,BHMBCCMKT01,577,26.14453614,91.73617216,357,car,high,7,0,08-10-2016,13:30:00,2016-10-08 13:30:00,0.6187175043327556,3,3,11.093587521663778,0.37793916512379266,13.023513320990341,13.023513320990341,
84,BHMBCCMKT01,577,26.14453614,91.73617216,395,bike,average,4,0,08-10-2016,14:03:00,2016-10-08 14:03:00,0.6845753899480069,2,2,7.422876949740035,0.2709952570767395,12.167962056613916,12.167962056613916,
85,BHMBCCMKT01,577,26.14453614,91.73617216,400,car,average,4,0,08-10-2016,14:30:00,2016-10-08 14:30:00,0.6932409012131716,2,3,8.466204506065857,0.30139196748482544,12.411135739878603,12.411135739878603,
86,BHMBCCMKT01,577,26.14453614,91.73617216,395,car,average,4,0,08-10-2016,14:57:00,2016-10-08 14:57:00,0.6845753899480069,2,3,8.422876949740035,0.30012964562402455,12.401037164992196,12.401037164992196,
87,BHMBCCMKT01,577,26.14453614,91.73617216,406,car,average,3,0,08-10-2016,15:30:00,2016-10-08 15:30:00,0.7036395147313691,2,3,6.518197573656845,0.2446379766232165,11.957103812985732,11.957103812985732,
88,BHMBCCMKT01,577,26.14453614,91.73617216,381,car,low,2,0,08-10-2016,16:04:00,2016-10-08 16:04:00,0.6603119584055459,1,3,7.30155979202773,0.267460755866497,12.139686046931978,12.139686046931978,
89,BHMBCCMKT01,577,26.14453614,91.73617216,365,truck,low,2,0,08-10-2016,16:30:00,2016-10-08 16:30:00,0.6325823223570191,1,4,8.162911611785095,0.2925557144592191,12.340445715673754,12.340445715673754,
90,BHMBCCMKT01,577,26.14453614,91.73617216,42,car,low,2,1,09-10-2016,08:04:00,2016-10-09 08:04:00,0.07279029462738301,1,3,8.363951473136915,0.2984128878933353,12.387303103146683,13.887303103146683,
91,BHMBCCMKT01,577,26.14453614,91.73617216,42,bike,low,2,1,09-10-2016,08:30:00,2016-10-09 08:30:00,0.07279029462738301,1,2,7.363951473136915,0.26927849934605025,12.154227994768403,13.654227994768403,
92,BHMBCCMKT01,577,26.14453614,91.73617216,43,car,low,2,1,09-10-2016,09:04:00,2016-10-09 09:04:00,0.07452339688041594,1,3,8.372616984402079,0.29866535226549545,12.389322818123965,13.889322818123965,
93,BHMBCCMKT01,577,26.14453614,91.73617216,43,cycle,low,2,1,09-10-2016,09:30:00,2016-10-09 09:30:00,0.07452339688041594,1,1,6.37261698440208,0.24039657517092544,11.923172601367405,13.423172601367405,
94,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,average,3,1,09-10-2016,09:57:00,2016-10-09 09:57:00,0.08665511265164645,2,3,7.433275563258232,0.27129821432333173,12.170385714586654,13.670385714586654,
95,BHMBCCMKT01,577,26.14453614,91.73617216,64,cycle,high,5,1,09-10-2016,10:30:00,2016-10-09 10:30:00,0.11091854419410745,3,1,6.554592720970538,0.2456983269862893,11.965586615890317,13.465586615890317,
96,BHMBCCMKT01,577,26.14453614,91.73617216,100,truck,average,6,1,09-10-2016,11:04:00,2016-10-09 11:04:00,0.1733102253032929,2,4,14.866551126516464,0.48786215276233597,13.902897222098689,15.402897222098689,
97,BHMBCCMKT01,577,26.14453614,91.73617216,126,car,average,6,1,09-10-2016,11:30:00,2016-10-09 11:30:00,0.21837088388214904,2,3,14.091854419410746,0.46529183789121575,13.722334703129725,15.222334703129725,
98,BHMBCCMKT01,577,26.14453614,91.73617216,148,car,average,6,1,09-10-2016,11:57:00,2016-10-09 11:57:00,0.2564991334488735,2,3,14.282495667244367,0.4708460540787397,13.766768432629917,15.266768432629917,
99,BHMBCCMKT01,577,26.14453614,91.73617216,170,truck,high,9,1,09-10-2016,12:30:00,2016-10-09 12:30:00,0.29462738301559793,3,4,18.47313691507799,0.5929378244554038,14.74350259564323,16.24350259564323,
100,BHMBCCMKT01,577,26.14453614,91.73617216,189,car,high,8,1,09-10-2016,13:04:00,2016-10-09 13:04:00,0.3275563258232236,3,3,15.63778162911612,0.5103314818845922,14.082651855076737,15.582651855076737,
101,BHMBCCMKT01,577,26.14453614,91.73617216,205,bike,high,9,1,09-10-2016,13:30:00,2016-10-09 13:30:00,0.35528596187175043,3,2,16.776429809358753,0.5435053003864402,14.34804240309152,15.84804240309152,
102,BHMBCCMKT01,577,26.14453614,91.73617216,208,cycle,high,7,1,09-10-2016,14:03:00,2016-10-09 14:03:00,0.36048526863084923,3,1,11.802426343154247,0.3985907507664956,13.188726006131965,14.688726006131965,
103,BHMBCCMKT01,577,26.14453614,91.73617216,209,car,average,5,1,09-10-2016,14:30:00,2016-10-09 14:30:00,0.36221837088388215,2,3,12.811091854419411,0.4279776036859408,13.423820829487527,14.923820829487527,
104,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,low,3,1,09-10-2016,15:04:00,2016-10-09 15:04:00,0.3310225303292894,1,3,11.655112651646448,0.3942988564397725,13.15439085151818,14.65439085151818,
105,BHMBCCMKT01,577,26.14453614,91.73617216,180,car,low,3,1,09-10-2016,15:30:00,2016-10-09 15:30:00,0.3119584055459272,1,3,11.559792027729635,0.39152174834601045,13.132173986768084,14.632173986768084,
106,BHMBCCMKT01,577,26.14453614,91.73617216,155,truck,low,3,1,09-10-2016,16:03:00,2016-10-09 16:03:00,0.268630849220104,1,4,12.34315424610052,0.41434452758929097,13.314756220714328,13.314756220714328,
107,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,low,2,1,09-10-2016,16:30:00,2016-10-09 16:30:00,0.23050259965337955,1,3,9.152512998266898,0.3213871457599119,12.571097166079294,14.071097166079294,
108,BHMBCCMKT01,577,26.14453614,91.73617216,54,bike,low,1,0,10-10-2016,08:04:00,2016-10-10 08:04:00,0.09358752166377816,1,2,1.4679376083188909,0.09750174052826235,10.7800139242261,12.2800139242261,
109,BHMBCCMKT01,577,26.14453614,91.73617216,56,truck,low,1,0,10-10-2016,08:30:00,2016-10-10 08:30:00,0.09705372616984402,1,4,3.48526863084922,0.15627544636715274,11.250203570937224,12.750203570937224,
110,BHMBCCMKT01,577,26.14453614,91.73617216,65,car,low,1,0,10-10-2016,09:04:00,2016-10-10 09:04:00,0.11265164644714037,1,3,2.563258232235702,0.1294132371693094,11.035305897354474,12.535305897354474,
111,BHMBCCMKT01,577,26.14453614,91.73617216,73,bike,low,2,0,10-10-2016,09:30:00,2016-10-10 09:30:00,0.1265164644714038,1,2,3.6325823223570186,0.16056734069387585,11.284538725551007,12.784538725551007,
112,BHMBCCMKT01,577,26.14453614,91.73617216,92,cycle,low,2,0,10-10-2016,10:03:00,2016-10-10 10:03:00,0.15944540727902945,1,1,2.7972270363951477,0.1362297752176343,11.089838201741074,12.589838201741074,
113,BHMBCCMKT01,577,26.14453614,91.73617216,113,cycle,average,4,0,10-10-2016,10:30:00,2016-10-10 10:30:00,0.19584055459272098,2,1,3.979202772963605,0.17066591558028313,11.365327324642266,12.865327324642266,
114,BHMBCCMKT01,577,26.14453614,91.73617216,144,car,average,3,0,10-10-2016,10:57:00,2016-10-10 10:57:00,0.24956672443674177,2,3,4.247833622183709,0.17849231111724878,11.42793848893799,12.92793848893799,
115,BHMBCCMKT01,577,26.14453614,91.73617216,149,car,average,4,0,10-10-2016,11:30:00,2016-10-10 11:30:00,0.2582322357019064,2,3,6.291161178509531,0.2380234100726197,11.904187280580958,13.404187280580958,
116,BHMBCCMKT01,577,26.14453614,91.73617216,159,car,average,4,0,10-10-2016,11:57:00,2016-10-10 11:57:00,0.2755632582322357,2,3,6.377816291161178,0.24054805379422153,11.924384430353772,13.424384430353772,
117,BHMBCCMKT01,577,26.14453614,91.73617216,171,car,high,6,0,10-10-2016,12:30:00,2016-10-10 12:30:00,0.29636048526863085,3,3,7.481802426343155,0.27271201480742874,12.181696118459431,13.681696118459431,
118,BHMBCCMKT01,577,26.14453614,91.73617216,176,truck,average,5,0,10-10-2016,13:04:00,2016-10-10 13:04:00,0.3050259965337955,2,4,9.525129982668977,0.3322431137627997,12.657944910102398,14.157944910102398,
119,BHMBCCMKT01,577,26.14453614,91.73617216,172,car,high,6,0,10-10-2016,13:30:00,2016-10-10 13:30:00,0.29809358752166376,3,3,7.490467937608319,0.27296447917958894,12.183715833436713,13.683715833436713,
120,BHMBCCMKT01,577,26.14453614,91.73617216,161,car,high,5,0,10-10-2016,14:03:00,2016-10-10 14:03:00,0.27902946273830154,3,3,5.395147313691508,0.2119185939912569,11.695348751930055,13.195348751930055,
121,BHMBCCMKT01,577,26.14453614,91.73617216,154,car,average,3,0,10-10-2016,14:30:00,2016-10-10 14:30:00,0.2668977469670711,2,3,4.334488734835356,0.1810169548388506,11.448135638710806,12.948135638710806,
122,BHMBCCMKT01,577,26.14453614,91.73617216,137,car,average,4,0,10-10-2016,14:57:00,2016-10-10 14:57:00,0.23743500866551126,2,3,6.1871750433275565,0.23499383760669756,11.87995070085358,13.37995070085358,
